Agency,Description,Uploaded on,Link,Saved
DEPARTMENT OF LABOR,SURVEY NON-RESPONSE FOLLOW-...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C524F00028&modNumber=P00001&idvAgencyID=&idvPIID=47QTCA20D00ER&contractType=AWARD,"$584,499"
DEPARTMENT OF LABOR,NEW AWARD - MEDIATION SERVI...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C124C0007&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$980,000"
DEPARTMENT OF LABOR,OFCCP LEARNING MANAGEMENT S...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605TA22F00047&modNumber=P00010&idvAgencyID=&idvPIID=1605TA22A0001&contractType=AWARD,"$1,123,903"
DEPARTMENT OF LABOR,OA INTERMEDIARY TECHNICAL A...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C223F00012&modNumber=P00007&idvAgencyID=&idvPIID=47QRAD20D8188&contractType=AWARD,"$1,965,556"
DEPARTMENT OF LABOR,Thomson Reuters CLEAR infor...,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C122F00033&modNumber=P00005&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,"$66,259.8"
DEPARTMENT OF LABOR,ONLINE SUBSCRIPTION SERVICE,2/20/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C223F00023&modNumber=P00002&idvAgencyID=&idvPIID=03310318DL19C0008&contractType=AWARD,"$110,499"
DEPARTMENT OF LABOR,DIVERSITY COUNCIL FACILITAT...,1/27/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1665&PIID=16PBGC21F0007&modNumber=P00004&idvAgencyID=&idvPIID=GS00F404GA&contractType=AWARD,"$37,530"
DEPARTMENT OF LABOR,SUBSCRIPTION FOR POLITICO P...,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C123F00031&modNumber=P00004&idvAgencyID=&idvPIID=03310319D0071&contractType=AWARD,"$51,950"
DEPARTMENT OF LABOR,A unique function in Washin...,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C423C0006&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$24,762"
DEPARTMENT OF LABOR,Business Initiative Engagem...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C222F00010&modNumber=P00018&idvAgencyID=&idvPIID=1605C221A0008&contractType=AWARD,$0
DEPARTMENT OF LABOR,PROFESSIONAL SERVICES IN TH...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C422F00010&modNumber=P00015&idvAgencyID=&idvPIID=GS10F062CA&contractType=AWARD,$0
DEPARTMENT OF LABOR,OA YOUTH APPRENTICESHIP REA...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C220C0005&modNumber=P00013&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF LABOR,EMPLOYEE CAREER COACHING SE...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C321F00048&modNumber=P00005&idvAgencyID=&idvPIID=47QRAA18D009T&contractType=AWARD,"$71,648.1"
DEPARTMENT OF LABOR,OCFO NEEDS HR ADMINISTRATIO...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C421F00025&modNumber=P00018&idvAgencyID=&idvPIID=1605C321A0006&contractType=AWARD,"$209,260.71"
DEPARTMENT OF LABOR,IT Portfolio Management Sup...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1665&PIID=16PBGC22F0021&modNumber=P00002&idvAgencyID=&idvPIID=HHSN316201200028W&contractType=AWARD,"$418,011.37"
DEPARTMENT OF LABOR,EBSA- STATISTICAL SUPPORT C...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C124F00064&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA18D00BQ&contractType=AWARD,"$634,345"
DEPARTMENT OF LABOR,ACQUISITION/ADMINISTRATIVE ...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C320F00005&modNumber=P00029&idvAgencyID=&idvPIID=1605DC20A0011&contractType=AWARD,"$713,180.33"
DEPARTMENT OF LABOR,OA FEDERAL REGISTERED APPRE...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C223F00042&modNumber=P00006&idvAgencyID=&idvPIID=1605C220A0002&contractType=AWARD,"$716,758.26"
DEPARTMENT OF LABOR,Accounting and Financial Ad...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1665&PIID=16PBGC24F0056&modNumber=0&idvAgencyID=&idvPIID=GS00F100GA&contractType=AWARD,"$1,824,620.83"
DEPARTMENT OF LABOR,Subject Matter Expert and C...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C222C0024&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$3,385,715.6"
DEPARTMENT OF LABOR,Intern Program,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1665&PIID=16PBGC22F0015&modNumber=P00007&idvAgencyID=&idvPIID=GS02F0110Y&contractType=AWARD,"$4,286,937.17"
DEPARTMENT OF LABOR,Office of Apprenticeship Gr...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C222F00023&modNumber=P00014&idvAgencyID=&idvPIID=1605C221A0008&contractType=AWARD,"$6,374,158"
DEPARTMENT OF LABOR,MEDICAL AND TECHNICAL EXPER...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C124C0033&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF LABOR,ETA CONSULTATION SERVICES I...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C123P00037&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF LABOR,THE NATIVE AMERICAN EMPLOYM...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C224F00015&modNumber=P00003&idvAgencyID=&idvPIID=1605C221A0004&contractType=AWARD,$0
DEPARTMENT OF LABOR,"Diversity, Equity, Inclusio...",2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C322A0002&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=IDV,$0
DEPARTMENT OF LABOR,BLOOMBERG GOVERNMENT MONTHL...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1604&PIID=1604DC22P00007&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$44,235"
DEPARTMENT OF LABOR,State Exchange on Employmen...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C522F00016&modNumber=P00007&idvAgencyID=&idvPIID=1605C522A0001&contractType=AWARD,"$258,653"
DEPARTMENT OF LABOR,CONFERENCE CENTER SCHEDULIN...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C323C0003&modNumber=P00012&idvAgencyID=&idvPIID=&contractType=AWARD,"$691,245"
DEPARTMENT OF LABOR,OJC STRATEGIC COMMUNICATION...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C224F00023&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D00DV&contractType=AWARD,"$25,525,363"
DEPARTMENT OF LABOR,EMPLOYMENT AND TRAINING ADM...,2/19/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1605&PIID=1605C224F00036&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D00AE&contractType=AWARD,"$33,211,739"
DEPARTMENT OF STATE,DEIA train the trainer work...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19FS1A24P0124&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,000"
DEPARTMENT OF STATE,S ODI DEIA Champions Progra...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24C0137&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$101,573"
DEPARTMENT OF STATE,Enhanced Multimedia Services,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM19C0035&modNumber=P00012&idvAgencyID=&idvPIID=&contractType=AWARD,"$180,205.06"
DEPARTMENT OF STATE,7203.1 LABCO DEIA,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19ES6024P1221&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$14,351.13"
DEPARTMENT OF STATE,BSB|FAS| DATAGRO SUBSCRIPTI...,2/12/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19BR2525P0248&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$13,662.98"
DEPARTMENT OF STATE,MGT. OF SOCIAL MEDIA PAGES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19PK3324C1020&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$41,936.08"
DEPARTMENT OF STATE,----------COMMENTS:APPROVED...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24P0724&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF STATE,OTHER QC/TEST/INSPECT- MISC...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM20C0060&modNumber=P00014&idvAgencyID=&idvPIID=&contractType=AWARD,"$414,510.72"
DEPARTMENT OF STATE,NEW BPA CALL FOR THE SERVIC...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=191NLE23F7040&modNumber=P00005&idvAgencyID=&idvPIID=191NLE22A0003&contractType=AWARD,$0
DEPARTMENT OF STATE,NEW BPA CALL FOR THE SERVIC...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=191NLE23F7041&modNumber=P00005&idvAgencyID=&idvPIID=191NLE22A0003&contractType=AWARD,$0
DEPARTMENT OF STATE,LODGING,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM25F0008&modNumber=P00001&idvAgencyID=&idvPIID=19AQMM20D0128&contractType=AWARD,$0
DEPARTMENT OF STATE,STAFFING SUPPORT SERVICES,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM21F1904&modNumber=P00006&idvAgencyID=&idvPIID=19AQMM19D0120&contractType=AWARD,"$35,253.61"
DEPARTMENT OF STATE,CULTURAL HERITAGE SUPPORT,1/28/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM22F2835&modNumber=P00003&idvAgencyID=&idvPIID=47QTCB21D0025&contractType=AWARD,"$1,555,374.47"
DEPARTMENT OF STATE,DEIA Climate Survey Services,1/30/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM22F1859&modNumber=P00006&idvAgencyID=&idvPIID=47QRAA18D005Z&contractType=AWARD,"$279,828.25"
DEPARTMENT OF STATE,Global Offshore Wind Develo...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM22F7750&modNumber=P00004&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,$0
DEPARTMENT OF STATE,Politico Pro GHSD SCE Congr...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24P0625&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$13,000"
DEPARTMENT OF STATE,Associated Press,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM20C0162&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$62,399.03"
DEPARTMENT OF STATE,SUPPORT- PROF: PROGRAM MANA...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM25F0078&modNumber=P00003&idvAgencyID=&idvPIID=19AQMM24D0058&contractType=AWARD,"$79,739.96"
DEPARTMENT OF STATE,GEC Professional Support Se...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM23F0861&modNumber=P00018&idvAgencyID=&idvPIID=19AQMM18D0105&contractType=AWARD,"$159,062.4"
DEPARTMENT OF STATE,Editorial Images Footage Co...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24C0001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$211,616.2"
DEPARTMENT OF STATE,Politico 12 month Variable ...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24F1969&modNumber=0&idvAgencyID=&idvPIID=03310323D0056&contractType=AWARD,"$258,610"
DEPARTMENT OF STATE,Clean Energy Policy Support...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24F1150&modNumber=P00001&idvAgencyID=&idvPIID=19AQMM22D0021&contractType=AWARD,"$274,044"
DEPARTMENT OF STATE,Renewable Energy Develop. f...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM22F7762&modNumber=P00002&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$463,710.51"
DEPARTMENT OF STATE,PROGRAM MANAGEMENT/SUPPORT,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM22F7703&modNumber=P00005&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$689,200.97"
DEPARTMENT OF STATE,Midstream Diversifi,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM22F7734&modNumber=P00004&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$808,723.56"
DEPARTMENT OF STATE,PSP Balkans Clean Hydroge,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24F7484&modNumber=P00001&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$928,927.68"
DEPARTMENT OF STATE,ENR Clean Hydrogen Industri...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM23F7585&modNumber=P00002&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$1,322,564.09"
DEPARTMENT OF STATE,"IT Business, Planning, and ...",2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM21F4397&modNumber=P00133&idvAgencyID=&idvPIID=47QTCK18D0029&contractType=AWARD,"$1,690,420.76"
DEPARTMENT OF STATE,Balkans offshore wind,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM23F7127&modNumber=P00003&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$2,183,539.28"
DEPARTMENT OF STATE,PROGRAM MANAGEMENT/SUPPORT,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM23F7560&modNumber=0&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$2,302,721.29"
DEPARTMENT OF STATE,Ukraine Clean Hydroge,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM24F7483&modNumber=P00001&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$2,855,877.12"
DEPARTMENT OF STATE,Clean Energy Balk,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1900&PIID=19AQMM23F7616&modNumber=P00002&idvAgencyID=&idvPIID=19AQMM20A0500&contractType=AWARD,"$3,990,387.18"
DEPARTMENT OF TRANSPORTATION,AIT Workforce Development T...,1/31/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6920&PIID=692M1522D00002&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=IDV,"$3,000,000"
DEPARTMENT OF TRANSPORTATION,PROCURE E&E NEWS PUBLICATIONS,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6920&PIID=693KA924P00087&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,DEIA Program and Project Ma...,2/12/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6953&PIID=693JJ423F00073N&modNumber=P00003&idvAgencyID=&idvPIID=GS00F105DA&contractType=AWARD,"$1,323,741"
DEPARTMENT OF TRANSPORTATION,SUBSCRIPTION SERVICES FOR P...,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6957&PIID=693JK323P00021&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,CORTAP TASK ORDER FY 2025 R...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6955&PIID=69319524F30122N&modNumber=P00001&idvAgencyID=&idvPIID=69319519D000009&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,Subscription services,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ324P000025&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,Subscription services,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6940&PIID=693JJ924P000010&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,Subscription services,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6957&PIID=693JK324P000024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,Subscription services,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6957&PIID=693JK325P000005&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,Subscription services,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6953&PIID=693JJ422P000014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$46,565.21"
DEPARTMENT OF TRANSPORTATION,Subscription services,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6957&PIID=693JK321P000011&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$61,765"
DEPARTMENT OF TRANSPORTATION,Subscription services,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6930&PIID=693JJ623F00044N&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0056&contractType=AWARD,"$163,300"
DEPARTMENT OF TRANSPORTATION,POSITIVE TRAIN CONTROL SAFE...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6930&PIID=693JJ624F00003N&modNumber=P00002&idvAgencyID=&idvPIID=693JJ623A000008&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,IGF::OT::IGFGRADE CROSSING-...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6930&PIID=693JJ618F000062&modNumber=P00001&idvAgencyID=&idvPIID=GS00F008DA&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,NEW TASK ORDER FOR INTERSTA...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ322F00423N&modNumber=P00003&idvAgencyID=&idvPIID=693JJ321D000013&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS PROCURE...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6955&PIID=69319519F100033&modNumber=P00001&idvAgencyID=&idvPIID=DTFT6016A00008&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,THE FRA IS COMMITTED TO SUP...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6930&PIID=693JJ621F000010&modNumber=P00001&idvAgencyID=&idvPIID=693JJ619A000002&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,IGF::OT::IGF,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6953&PIID=DTMC7513J00076&modNumber=P00004&idvAgencyID=&idvPIID=DTMC7511D00010&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,PROFESSIONAL EDITORIAL SERV...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6955&PIID=69319520F400014&modNumber=P00013&idvAgencyID=&idvPIID=GS10F0376R&contractType=AWARD,"$3,322.29"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS PR IS T...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ322P000009&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,759.24"
DEPARTMENT OF TRANSPORTATION,NEW TASK ORDER ISSUED FOR T...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ318F000036&modNumber=P00002&idvAgencyID=&idvPIID=DTFH6113D00014&contractType=AWARD,"$6,098.57"
DEPARTMENT OF TRANSPORTATION,KM MARKETING SUPPORT SERVICES,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ319F000086&modNumber=P00004&idvAgencyID=&idvPIID=693JJ319D000002&contractType=AWARD,"$10,578.97"
DEPARTMENT OF TRANSPORTATION,CONTRACT CLOSE OUT SUPPORT.,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ319F000435&modNumber=P00003&idvAgencyID=&idvPIID=693JK418D500003&contractType=AWARD,"$18,956.7"
DEPARTMENT OF TRANSPORTATION,IGF::OT::IGF,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6901&PIID=693JK418F960029&modNumber=P00011&idvAgencyID=&idvPIID=DTOS5915A00002&contractType=AWARD,"$33,721.45"
DEPARTMENT OF TRANSPORTATION,AWARDING A NEW TASK ORDER F...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ321F000441&modNumber=P00003&idvAgencyID=&idvPIID=693JJ320A000002&contractType=AWARD,"$258,795.92"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS NEW TAS...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6955&PIID=69319523F30091N&modNumber=P00002&idvAgencyID=&idvPIID=69319520D000008&contractType=AWARD,"$356,304.43"
DEPARTMENT OF TRANSPORTATION,PROVIDE THE FRA ADMINISTRAT...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6930&PIID=693JJ623C000001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$622,244.88"
DEPARTMENT OF TRANSPORTATION,THE PURPOSE OF THIS TASK OR...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6955&PIID=69319523F40025N&modNumber=P00003&idvAgencyID=&idvPIID=69319520D000008&contractType=AWARD,"$1,208,359.21"
DEPARTMENT OF TRANSPORTATION,IGF::OT::IGFIDIQ CONTRACT T...,2/18/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=DTFH6116D00027&modNumber=6&idvAgencyID=&idvPIID=&contractType=IDV,"$19,000,000"
DEPARTMENT OF TRANSPORTATION,Speed safety camera locatio...,2/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6940&PIID=693JJ924F00177N&modNumber=0&idvAgencyID=&idvPIID=GS00F216GA&contractType=AWARD,$0
DEPARTMENT OF TRANSPORTATION,Mitigating Environmental Im...,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ322A000004&modNumber=P00004&idvAgencyID=&idvPIID=GS00F010CA&contractType=IDV,$0
DEPARTMENT OF TRANSPORTATION,The purpose of this Deliver...,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6957&PIID=693JK324F00009N&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA19D003K&contractType=AWARD,"$295,000"
DEPARTMENT OF TRANSPORTATION,Environmental Impact Statem...,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6940&PIID=693JJ922F00194N&modNumber=P00002&idvAgencyID=&idvPIID=GS00Q14OADU119&contractType=AWARD,"$349,257.08"
DEPARTMENT OF TRANSPORTATION,Professional Support Servic...,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6953&PIID=693JJ420F000017&modNumber=P00007&idvAgencyID=&idvPIID=GS29F0003Y&contractType=AWARD,"$356,375.9"
DEPARTMENT OF TRANSPORTATION,Create a new delivery task ...,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ324F00436N&modNumber=0&idvAgencyID=&idvPIID=47QREB19D0025&contractType=AWARD,"$394,472.5"
DEPARTMENT OF TRANSPORTATION,The purpose of this effort ...,2/6/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6925&PIID=693JJ322A000021&modNumber=P00001&idvAgencyID=&idvPIID=GS00F010CA&contractType=IDV,"$661,500.61"
DEPARTMENT OF TRANSPORTATION,TO SOLE SOURCE AWARD A BASE...,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6901&PIID=693JK423C900004&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0
